experiment,model,item,score,score_top_n,category
AUDIT scale,Llama-3.1-8B-Instruct,11,0.19218267483625462,0.03982859990259133,
AUDIT scale,Llama-3.2-1B-Instruct,1,0.9200963590753831,0.3704409944328331,
AUDIT scale,Llama-3.2-1B-Instruct,2,2.523246732543325,3.4786359969205076,
AUDIT scale,Llama-3.2-1B-Instruct,3,0.5715325117375031,0.11832425865230525,
AUDIT scale,Llama-3.2-1B-Instruct,4,0.7794041713260991,0.0,
AUDIT scale,Llama-3.2-1B-Instruct,5,0.13277335503507254,0.0,
AUDIT scale,Llama-3.2-1B-Instruct,6,0.11944797642547998,0.0,
AUDIT scale,Llama-3.2-1B-Instruct,7,0.0063397257694434135,0.0,
AUDIT scale,Llama-3.2-1B-Instruct,8,0.2504518253996824,0.0,
AUDIT scale,Llama-3.2-1B-Instruct,9,0.12342021572801372,0.0,
AUDIT scale,Llama-3.2-1B-Instruct,10,0.16994981661817177,0.0,
AUDIT scale,Llama-3.2-1B-Instruct,11,0.1724136882935462,0.0,
AUDIT scale,Llama-3.2-3B-Instruct,1,0.9201371938348931,0.3668019890096856,
AUDIT scale,Llama-3.2-3B-Instruct,2,2.6967295730491054,3.0,
AUDIT scale,Llama-3.2-3B-Instruct,3,0.6651120495897936,0.09867516831036534,
AUDIT scale,Llama-3.2-3B-Instruct,4,0.9371057856516665,0.0,
AUDIT scale,Llama-3.2-3B-Instruct,5,0.17885120902196347,0.04104937705893423,
AUDIT scale,Llama-3.2-3B-Instruct,6,0.16448537003838878,0.0,
AUDIT scale,Llama-3.2-3B-Instruct,7,0.011285654058369315,0.0,
AUDIT scale,Llama-3.2-3B-Instruct,8,0.3229119655974463,0.0,
AUDIT scale,Llama-3.2-3B-Instruct,9,0.20369626908663366,0.0,
AUDIT scale,Llama-3.2-3B-Instruct,10,0.18710027362060544,0.0,
AUDIT scale,Llama-3.2-3B-Instruct,11,0.1489225387091379,0.0,
AUDIT scale,Llama-3.3-70B-Instruct,1,0.9269956559245153,1.0,
AUDIT scale,Llama-3.3-70B-Instruct,2,2.5027750725801243,3.3660842671460625,
AUDIT scale,Llama-3.3-70B-Instruct,3,0.5530209851695366,1.0,
AUDIT scale,Llama-3.3-70B-Instruct,4,1.0097097778904587,1.0967779113614744,
AUDIT scale,Llama-3.3-70B-Instruct,5,0.1558320505712262,0.0,
AUDIT scale,Llama-3.3-70B-Instruct,6,0.1559170359047743,0.07849450197883992,
AUDIT scale,Llama-3.3-70B-Instruct,7,0.010990766571385601,0.011550252677560347,
AUDIT scale,Llama-3.3-70B-Instruct,8,0.3032935093874902,0.0,
AUDIT scale,Llama-3.3-70B-Instruct,9,0.24696278090656854,0.009591022775957496,
AUDIT scale,Llama-3.3-70B-Instruct,10,0.1511659589756214,0.0,
AUDIT scale,Llama-3.3-70B-Instruct,11,0.19783040106295374,0.768327600199564,
AUDIT scale,Ministral-8B-Instruct-2410,1,0.9081225276102152,0.3974703429389351,
AUDIT scale,Ministral-8B-Instruct-2410,2,2.359931981774133,3.497242225803121,
AUDIT scale,Ministral-8B-Instruct-2410,3,0.44070815208707154,0.039522544619851406,
AUDIT scale,Ministral-8B-Instruct-2410,4,0.9234379162055246,0.0,
AUDIT scale,Ministral-8B-Instruct-2410,5,0.1591775471083255,0.04050587907335536,
AUDIT scale,Ministral-8B-Instruct-2410,6,0.10057025662242101,0.0,
AUDIT scale,Ministral-8B-Instruct-2410,7,0.00796314329612992,0.0,
AUDIT scale,Ministral-8B-Instruct-2410,8,0.24246333945300494,0.0,
AUDIT scale,Ministral-8B-Instruct-2410,9,0.17616040921087195,0.0,
AUDIT scale,Ministral-8B-Instruct-2410,10,0.21476716612138522,0.0,
AUDIT scale,Ministral-8B-Instruct-2410,11,0.18242336239295506,0.5357864485604137,
AUDIT scale,Mistral-7B-Instruct-v0.3,1,0.9156925454668603,1.0,
AUDIT scale,Mistral-7B-Instruct-v0.3,2,2.9464961746247043,3.466527025949967,
AUDIT scale,Mistral-7B-Instruct-v0.3,3,1.0228006624391692,2.0,
AUDIT scale,Mistral-7B-Instruct-v0.3,4,1.3199504237895616,1.1848942405443672,
AUDIT scale,Mistral-7B-Instruct-v0.3,5,0.04024858884287454,0.0,
AUDIT scale,Mistral-7B-Instruct-v0.3,6,0.13326333822058237,0.0,
AUDIT scale,Mistral-7B-Instruct-v0.3,7,0.00935579656938715,0.0,
AUDIT scale,Mistral-7B-Instruct-v0.3,8,0.27461878879711327,0.0,
AUDIT scale,Mistral-7B-Instruct-v0.3,9,0.2078178151690212,0.0,
AUDIT scale,Mistral-7B-Instruct-v0.3,10,0.12716870243776354,0.7304933435793908,
AUDIT scale,Mistral-7B-Instruct-v0.3,11,0.22190408017179666,0.07999999999999997,
AUDIT scale,Mistral-Small-24B-Instruct-2501,1,0.931929633365625,1.0,
AUDIT scale,Mistral-Small-24B-Instruct-2501,2,2.46336555547423,3.0,
AUDIT scale,Mistral-Small-24B-Instruct-2501,3,0.5745212891092367,0.04669041281969402,
AUDIT scale,Mistral-Small-24B-Instruct-2501,4,1.0410245482232996,0.04464686950668758,
AUDIT scale,Mistral-Small-24B-Instruct-2501,5,0.21981986775768517,0.07297532888792463,
AUDIT scale,Mistral-Small-24B-Instruct-2501,6,0.14531154761936252,0.0,
AUDIT scale,Mistral-Small-24B-Instruct-2501,7,0.011279642667053953,0.0,
AUDIT scale,Mistral-Small-24B-Instruct-2501,8,0.32756759088310283,0.0,
AUDIT scale,Mistral-Small-24B-Instruct-2501,9,0.2567834096165276,0.0,
AUDIT scale,Mistral-Small-24B-Instruct-2501,10,0.17179977333255686,0.0,
AUDIT scale,Mistral-Small-24B-Instruct-2501,11,0.20855403481010246,0.8899560884299597,
AUDIT scale,OLMo-2-7B-Instruct,1,0.9232838155143231,0.36281718023482046,
AUDIT scale,OLMo-2-7B-Instruct,2,2.556561721624159,3.710732048370825,
AUDIT scale,OLMo-2-7B-Instruct,3,0.7197381422527281,0.3026381948126305,
AUDIT scale,OLMo-2-7B-Instruct,4,1.0889232414563903,0.0,
AUDIT scale,OLMo-2-7B-Instruct,5,0.2502987130843388,0.05275424320422542,
AUDIT scale,OLMo-2-7B-Instruct,6,0.23588747430049606,0.0,
AUDIT scale,OLMo-2-7B-Instruct,7,0.02271735064369523,0.028538695852706575,
AUDIT scale,OLMo-2-7B-Instruct,8,0.5723315135198791,0.5649206738342308,
AUDIT scale,OLMo-2-7B-Instruct,9,0.37418874943554875,0.1352367282731388,
AUDIT scale,OLMo-2-7B-Instruct,10,0.3162581172082708,0.8844897569487208,
AUDIT scale,OLMo-2-7B-Instruct,11,0.2683268026752267,1.1813103377873344,
AUDIT scale,Phi-3-medium-128k-instruct,1,0.9516169538606034,1.0,
AUDIT scale,Phi-3-medium-128k-instruct,2,2.4396265191323963,2.9697935547953285,
AUDIT scale,Phi-3-medium-128k-instruct,3,0.6786674072587526,0.04317188349967707,
AUDIT scale,Phi-3-medium-128k-instruct,4,1.1803937804139768,0.7112219094533696,
AUDIT scale,Phi-3-medium-128k-instruct,5,0.2602587830248703,0.04050160653889179,
AUDIT scale,Phi-3-medium-128k-instruct,6,0.16706495529948476,0.0,
AUDIT scale,Phi-3-medium-128k-instruct,7,0.012891999624633185,0.0,
AUDIT scale,Phi-3-medium-128k-instruct,8,0.36042460908839813,0.0,
AUDIT scale,Phi-3-medium-128k-instruct,9,0.2584954141295042,0.0,
AUDIT scale,Phi-3-medium-128k-instruct,10,0.253433481721896,0.8970801453378273,
AUDIT scale,Phi-3-medium-128k-instruct,11,0.1999213357882542,0.7528692406984939,
AUDIT scale,Phi-3-mini-128k-instruct,1,0.9142637680176129,0.3782994805179161,
AUDIT scale,Phi-3-mini-128k-instruct,2,2.4304782402277834,2.999999999999999,
AUDIT scale,Phi-3-mini-128k-instruct,3,0.5667528400210816,0.07108248364091913,
AUDIT scale,Phi-3-mini-128k-instruct,4,1.1123897728587286,0.05488477582472185,
AUDIT scale,Phi-3-mini-128k-instruct,5,0.2880972408852941,0.0,
AUDIT scale,Phi-3-mini-128k-instruct,6,0.2233870410931933,0.0,
AUDIT scale,Phi-3-mini-128k-instruct,7,0.01753832356553277,0.0,
AUDIT scale,Phi-3-mini-128k-instruct,8,0.41973322726537193,0.043390740767528066,
AUDIT scale,Phi-3-mini-128k-instruct,9,0.3125514193570499,0.0,
AUDIT scale,Phi-3-mini-128k-instruct,10,0.26132727124601624,0.6781471982581003,
AUDIT scale,Phi-3-mini-128k-instruct,11,0.2151912236769192,0.0,
AUDIT scale,Phi-3.5-mini-instruct,1,0.9152946037888535,0.3799998253518947,
AUDIT scale,Phi-3.5-mini-instruct,2,2.6936965617008735,2.9999999999999996,
AUDIT scale,Phi-3.5-mini-instruct,3,0.4054063541822917,0.0,
AUDIT scale,Phi-3.5-mini-instruct,4,1.1022811306821159,0.049245311989738375,
AUDIT scale,Phi-3.5-mini-instruct,5,0.2414863468748505,0.0,
AUDIT scale,Phi-3.5-mini-instruct,6,0.17174659041599327,0.0,
AUDIT scale,Phi-3.5-mini-instruct,7,0.014529355739547974,0.0,
AUDIT scale,Phi-3.5-mini-instruct,8,0.364282507724809,0.04771581595611355,
AUDIT scale,Phi-3.5-mini-instruct,9,0.24316039679975063,0.0,
AUDIT scale,Phi-3.5-mini-instruct,10,0.24068657965332974,0.24975041822838737,
AUDIT scale,Phi-3.5-mini-instruct,11,0.20168511836475134,0.0,
AUDIT scale,Qwen2.5-1.5B-Instruct,1,0.9417721693594922,0.9199999999999999,
AUDIT scale,Qwen2.5-1.5B-Instruct,2,2.4412360529969663,2.573462179271659,
AUDIT scale,Qwen2.5-1.5B-Instruct,3,0.2268900600300614,0.04594333047522113,
AUDIT scale,Qwen2.5-1.5B-Instruct,4,0.3833278895189793,0.0,
AUDIT scale,Qwen2.5-1.5B-Instruct,5,0.05644315351971709,0.0,
AUDIT scale,Qwen2.5-1.5B-Instruct,6,0.029403764428356474,0.0,
AUDIT scale,Qwen2.5-1.5B-Instruct,7,0.0023010644678930067,0.0,
AUDIT scale,Qwen2.5-1.5B-Instruct,8,0.06401305284074382,0.0,
AUDIT scale,Qwen2.5-1.5B-Instruct,9,0.052952609826212235,0.0,
AUDIT scale,Qwen2.5-1.5B-Instruct,10,0.1445592917478037,0.0,
AUDIT scale,Qwen2.5-1.5B-Instruct,11,0.11844046504903015,0.0,
AUDIT scale,Qwen2.5-14B-Instruct,1,0.9348549013709117,1.0,
AUDIT scale,Qwen2.5-14B-Instruct,2,2.7561869355310264,2.9317443994554124,
AUDIT scale,Qwen2.5-14B-Instruct,3,0.5808478579339957,0.17603628332447527,
AUDIT scale,Qwen2.5-14B-Instruct,4,0.767790006897356,0.0,
AUDIT scale,Qwen2.5-14B-Instruct,5,0.10207111323493495,0.0,
AUDIT scale,Qwen2.5-14B-Instruct,6,0.08510587363124551,0.0,
AUDIT scale,Qwen2.5-14B-Instruct,7,0.006214347658677,0.0,
AUDIT scale,Qwen2.5-14B-Instruct,8,0.19097915909581514,0.0,
AUDIT scale,Qwen2.5-14B-Instruct,9,0.1594688448520083,0.0,
AUDIT scale,Qwen2.5-14B-Instruct,10,0.13945124539324558,0.0,
AUDIT scale,Qwen2.5-14B-Instruct,11,0.1675192118161681,0.0,
AUDIT scale,Qwen2.5-32B-Instruct,1,0.928685790371919,1.0,
AUDIT scale,Qwen2.5-32B-Instruct,2,2.4236278228733874,1.3230196063234907,
AUDIT scale,Qwen2.5-32B-Instruct,3,0.583529074751904,0.0,
AUDIT scale,Qwen2.5-32B-Instruct,4,0.9564466206149059,0.08344623725551542,
AUDIT scale,Qwen2.5-32B-Instruct,5,0.1716244959006699,0.0,
AUDIT scale,Qwen2.5-32B-Instruct,6,0.12998183275713585,0.0,
AUDIT scale,Qwen2.5-32B-Instruct,7,0.008652052886852637,0.0,
AUDIT scale,Qwen2.5-32B-Instruct,8,0.23576692009980038,0.0,
AUDIT scale,Qwen2.5-32B-Instruct,9,0.19804905445652118,0.0,
AUDIT scale,Qwen2.5-32B-Instruct,10,0.17534690823276877,0.0,
AUDIT scale,Qwen2.5-32B-Instruct,11,0.196136535631406,0.0,
AUDIT scale,Qwen2.5-3B-Instruct,1,0.9335700044380965,1.0,
AUDIT scale,Qwen2.5-3B-Instruct,2,2.4232349882478172,2.5471725671987695,
AUDIT scale,Qwen2.5-3B-Instruct,3,0.4364515763750172,0.0,
AUDIT scale,Qwen2.5-3B-Instruct,4,0.9104264312591153,0.0,
AUDIT scale,Qwen2.5-3B-Instruct,5,0.12809563596901882,0.0,
AUDIT scale,Qwen2.5-3B-Instruct,6,0.15375579293370606,0.0,
AUDIT scale,Qwen2.5-3B-Instruct,7,0.011581881265119387,0.0,
AUDIT scale,Qwen2.5-3B-Instruct,8,0.37363355727418973,0.0,
AUDIT scale,Qwen2.5-3B-Instruct,9,0.2387997570427242,0.0,
AUDIT scale,Qwen2.5-3B-Instruct,10,0.20996160260286154,0.35849181586314743,
AUDIT scale,Qwen2.5-3B-Instruct,11,0.23695214550857077,0.6037097031620058,
AUDIT scale,Qwen2.5-7B-Instruct,1,0.9099808907259695,0.38067213937422667,
AUDIT scale,Qwen2.5-7B-Instruct,2,2.236064834396431,1.1610137459022796,
AUDIT scale,Qwen2.5-7B-Instruct,3,0.3067149283206823,0.0,
AUDIT scale,Qwen2.5-7B-Instruct,4,0.531260499799749,0.0,
AUDIT scale,Qwen2.5-7B-Instruct,5,0.08053507511623159,0.0,
AUDIT scale,Qwen2.5-7B-Instruct,6,0.04562279456649657,0.0,
AUDIT scale,Qwen2.5-7B-Instruct,7,0.0052430789069997,0.0,
AUDIT scale,Qwen2.5-7B-Instruct,8,0.19028037496845968,0.0,
AUDIT scale,Qwen2.5-7B-Instruct,9,0.09456893714711317,0.0,
AUDIT scale,Qwen2.5-7B-Instruct,10,0.10606729838510275,0.1292317745801582,
AUDIT scale,Qwen2.5-7B-Instruct,11,0.11429654765621768,0.0,
AUDIT scale,Qwen3-1.7B,1,0.9248998860037784,0.9600000000000001,
AUDIT scale,Qwen3-1.7B,2,2.4730304560015672,3.4788151654948845,
AUDIT scale,Qwen3-1.7B,3,0.43096021620425295,0.1253589582817715,
AUDIT scale,Qwen3-1.7B,4,0.7639653135612924,0.040751736436077726,
AUDIT scale,Qwen3-1.7B,5,0.10100807844197209,0.0,
AUDIT scale,Qwen3-1.7B,6,0.10045389649208018,0.0,
AUDIT scale,Qwen3-1.7B,7,0.00787470002056325,0.0,
AUDIT scale,Qwen3-1.7B,8,0.17429082060926607,0.0,
AUDIT scale,Qwen3-1.7B,9,0.1488707080497769,0.0,
AUDIT scale,Qwen3-1.7B,10,0.4042674800791802,1.5288383780921426,
AUDIT scale,Qwen3-1.7B,11,0.23477610155290382,0.4787823006896859,
AUDIT scale,Qwen3-14B,1,0.9020292076728019,0.3720795411692215,
AUDIT scale,Qwen3-14B,2,2.5181362510878906,3.0,
AUDIT scale,Qwen3-14B,3,0.864950300061246,1.117006470708417,
AUDIT scale,Qwen3-14B,4,1.3005539357002696,1.0,
AUDIT scale,Qwen3-14B,5,0.39362396977740954,0.9949461969314858,
AUDIT scale,Qwen3-14B,6,0.21062356753706066,0.04462944833275525,
AUDIT scale,Qwen3-14B,7,0.018038115140405302,0.009951989966605485,
AUDIT scale,Qwen3-14B,8,0.3523187656720918,0.0,
AUDIT scale,Qwen3-14B,9,0.31023622127393774,0.18324512620303499,
AUDIT scale,Qwen3-14B,10,0.33163186777579895,1.4417033585192214,
AUDIT scale,Qwen3-14B,11,0.3280333288836559,1.7220686085862338,
AUDIT scale,Qwen3-30B-A3B-Instruct-2507,1,0.932761992328647,1.0,
AUDIT scale,Qwen3-30B-A3B-Instruct-2507,2,2.6111500266661074,3.4530624803054906,
AUDIT scale,Qwen3-30B-A3B-Instruct-2507,3,0.6377326686901204,0.11928628060716773,
AUDIT scale,Qwen3-30B-A3B-Instruct-2507,4,0.9722360685555098,0.0,
AUDIT scale,Qwen3-30B-A3B-Instruct-2507,5,0.22574198390017347,0.040807846813000995,
AUDIT scale,Qwen3-30B-A3B-Instruct-2507,6,0.20458066316687148,0.0,
AUDIT scale,Qwen3-30B-A3B-Instruct-2507,7,0.016101504482360716,0.0,
AUDIT scale,Qwen3-30B-A3B-Instruct-2507,8,0.3663983220155044,0.0,
AUDIT scale,Qwen3-30B-A3B-Instruct-2507,9,0.270956613671927,0.0,
AUDIT scale,Qwen3-30B-A3B-Instruct-2507,10,0.25680106656768953,0.19607553059477562,
AUDIT scale,Qwen3-30B-A3B-Instruct-2507,11,0.18745341753667205,0.08326172204508361,
AUDIT scale,Qwen3-32B,1,0.9290747515704146,0.4500000000000001,
AUDIT scale,Qwen3-32B,2,2.6002348575951397,2.9999999999999996,
AUDIT scale,Qwen3-32B,3,0.6062039308429247,0.23978207620789066,
AUDIT scale,Qwen3-32B,4,1.038026721785712,0.5083818230330445,
AUDIT scale,Qwen3-32B,5,0.24607935222262606,0.2649260319358254,
AUDIT scale,Qwen3-32B,6,0.19266795555763977,0.11886288097142916,
AUDIT scale,Qwen3-32B,7,0.013442195956345847,0.0,
AUDIT scale,Qwen3-32B,8,0.4805533114959339,0.7459357709829667,
AUDIT scale,Qwen3-32B,9,0.2543074336775536,0.01019854376864187,
AUDIT scale,Qwen3-32B,10,0.2893609577115982,0.07483928166741496,
AUDIT scale,Qwen3-32B,11,0.289177025814198,0.8115527335232743,
AUDIT scale,Qwen3-4B,1,0.900031945582558,0.3541579963090268,
AUDIT scale,Qwen3-4B,2,2.5144047374649725,2.7052394092508614,
AUDIT scale,Qwen3-4B,3,0.3331394765504387,0.1180899503990489,
AUDIT scale,Qwen3-4B,4,0.8003047690832724,0.034439164608801795,
AUDIT scale,Qwen3-4B,5,0.16561659521408,0.0,
AUDIT scale,Qwen3-4B,6,0.10687825958297999,0.0,
AUDIT scale,Qwen3-4B,7,0.007869951281490456,0.0,
AUDIT scale,Qwen3-4B,8,0.2212104420437104,0.041456649646387116,
AUDIT scale,Qwen3-4B,9,0.16651559302966956,0.0,
AUDIT scale,Qwen3-4B,10,0.18915505074913594,0.0,
AUDIT scale,Qwen3-4B,11,0.19348180106043458,0.6211799791440115,
AUDIT scale,Qwen3-8B,1,0.919721115908159,0.36314629251325115,
AUDIT scale,Qwen3-8B,2,2.424955043398799,1.3999119934531168,
AUDIT scale,Qwen3-8B,3,0.710815221789433,0.4996997081478614,
AUDIT scale,Qwen3-8B,4,1.2027422004732529,1.6892230915758077,
AUDIT scale,Qwen3-8B,5,0.29837398221796546,0.2881486696703461,
AUDIT scale,Qwen3-8B,6,0.1962760985526367,0.050479775990692054,
AUDIT scale,Qwen3-8B,7,0.012744281837369536,0.0,
AUDIT scale,Qwen3-8B,8,0.2974818055300092,0.009963509454570196,
AUDIT scale,Qwen3-8B,9,0.2544857430110787,0.04898380941620336,
AUDIT scale,Qwen3-8B,10,0.20345950087116388,0.0,
AUDIT scale,Qwen3-8B,11,0.18700374851950474,0.27745369711699713,
